id,status,project_id,project_name,branch,commit_id,commit_tag,created_at,updated_at,initiator,user_agent,source_type,source_origin,tags,engines,loc,file_count
1c4fff66-7da5-4028-acc0-29ecedd87b78,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-10-28T04:12:59.022782Z,2024-10-28T04:28:55.515569Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",github,webapp,{},"sast,sca",80670,930
e4a6568a-2bf9-4eb2-b883-c00d4b046234,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-10-28T04:38:49.122052Z,2024-10-28T04:53:45.564425Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",github,webapp,{},"sast,sca",80670,930
ea9824be-b1c3-45c7-b21b-ade5a85ff410,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-10-28T05:13:46.443224Z,2024-10-28T06:16:00.859865Z,happy_yang,ASTCLI/2.3.1,zip,cli,{},"sast,sca",80745,605
11221d67-fbee-42da-82c3-c5225da87b6f,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-10-28T05:26:33.543832Z,2024-10-28T05:56:35.490525Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",github,webapp,{},"sast,sca",80670,930
02a0f67c-3d80-493e-95c4-5f3b31b4ad14,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-10-28T06:18:55.497911Z,2024-10-28T06:33:39.373903Z,happy_yang,ASTCLI/2.3.1,zip,cli,{},"sast,sca",80745,605
efad91bb-a987-4397-a2f3-3879db5b2f08,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-10-28T08:30:46.556019Z,2024-10-28T08:38:25.908775Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""12cc02eeeed17e6c16150e92edbfa370390345ecf5ce3a7a9ffec44cbde486da"", ""branch"": ""master"", ""commit_id"": ""4efaf87c7ebfa22eff6161e7f2603133175a2e82"", ""commit_time"": ""1730014742"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""Exploitable Path""}","sast,sca",73578,507
9abf2a84-c0b3-4b6c-9ddf-e2e1c31abb91,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-10-28T08:46:17.20993Z,2024-10-28T08:51:50.869683Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""f6f99fa0bba086af46f281d97e6a60f02160e511c78a2979218f7c7e436fb6b6"", ""branch"": ""master"", ""commit_id"": ""4efaf87c7ebfa22eff6161e7f2603133175a2e82"", ""commit_time"": ""1730014742"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""Exploitable Path""}","sast,sca",73578,818
7b0283d7-c19e-423b-852e-d89c3ae83567,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-10-28T09:27:35.321367Z,2024-10-28T09:34:14.364958Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""0ec80ffdcccb5fe0e480a6cc44f204c2a3474b377c339adf498d0d0e6d1a4fda"", ""branch"": ""master"", ""commit_id"": ""57ce250ef115962a5f0362fbdaa2c8d5f83f43c6"", ""commit_time"": ""1730107089"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""Exploitable Path""}","sast,sca",73578,818
cf1a72b1-b4e2-44e5-be8f-01012f64de3b,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-10-31T10:33:34.656215Z,2024-10-31T10:38:11.64567Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""e86b6fa8787c87bc88829fc58f3a79337714abb312925288b3015acb3fdc5cee"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""False""}","sast,sca,apisec",73578,818
e956a3a4-0241-4e57-8fb9-fcfbc8cc08f1,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,.unknown,,,2024-11-01T03:52:47.662739Z,2024-11-01T03:55:18.274566Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",zip,webapp,{},sca,,
299f3f0a-fc9a-4d58-9820-7a5a8dcfc9b4,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,.unknown,,,2024-11-01T03:54:51.901912Z,2024-11-01T03:57:18.492593Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",zip,webapp,{},sca,,
e02685a8-f14d-469b-8c20-a3e235370351,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,.unknown,,,2024-11-01T03:55:24.599128Z,2024-11-01T03:57:53.409266Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",zip,webapp,{},sca,,
54b901f7-17c0-4c19-995a-e40e51c21bf1,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-11-01T03:58:58.428995Z,2024-11-01T04:01:23.296916Z,happy_yang,ASTCLI/2.3.1,zip,cli,{},sca,,
ae312413-cae1-494b-b2f6-a19229a52518,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,.unknown,,,2024-11-01T04:07:21.671771Z,2024-11-01T04:10:06.80984Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",zip,webapp,{},sca,,
8c482acd-e5b9-4d43-843d-c7dd5cedd67d,Failed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-11-01T04:25:40.215673Z,2024-11-01T04:25:41.121702Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""8739c76e681f900923b900c9df0ef75cf421d39cabb54650c4b9ad19b6a76d85"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""True""}",sca,,
ffedd409-a2e3-470e-b59a-1dcc168e76de,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-11-01T04:30:57.587086Z,2024-11-01T04:33:26.632511Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""dc4b92634cb22978427df3ece7653fe5029c5ec7718e1b70a88e24bae31a9ae2"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""True""}",sca,,
6ed25368-4d94-4122-a1cd-e333b5fbb8fa,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-11-01T04:40:26.587414Z,2024-11-01T04:42:56.662548Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""efec59bbf271718542b43076aab8f485ad963651e54c5f1a4f838cc9dc073540"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""True""}",sca,,
6a1c521a-7e2c-4abb-8ab6-4dc749172f3a,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,sca,,,2024-11-08T02:41:34.994989Z,2024-11-08T02:43:58.431285Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""419cd84df49cb89c83e5389c49940217ee4506b4ff0950ab7a71e6726213ba4a"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""True""}",sca,,
fd056dfa-d816-46c4-929b-672a84b9ea4f,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-08T02:45:53.33004Z,2024-11-08T02:48:39.07299Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""055c3b4eb5bd341ac622a37e31970269297665e8204d16f1c6d74a165105069b"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""False""}","sast,sca,apisec",73617,825
d201a795-e2f0-44bf-8f5a-d6a5eb1c28b7,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-22T01:53:42.854253Z,2024-11-22T01:56:42.813181Z,happy_yang,python-requests/2.31.0,zip,python-requests,"{""SHA256"": ""1aaf8fa3c3a09aad50b0b630daa88aaa40131333a5dc56f4a048261ed0aa459f"", ""branch"": ""master"", ""commit_id"": ""0113835feb086a7cdd0433727c813d76d6057fcb"", ""commit_time"": ""1730369840"", ""committer"": ""happy yang <yang2149@163.com>"", ""date"": ""2024-10-28"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""False""}","sast,sca,apisec",73617,825
c530726d-0196-4516-a2db-c12986a28370,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-24T12:05:22.808965Z,2024-11-24T12:06:41.859337Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",zip,webapp,{},sca,,
6026e9ec-8c10-496d-8249-fb174600aca2,Completed,5b2abad0-3dc2-4a53-aae7-d523776e2b0c,Checkmarx Python SDK,master,,,2024-11-29T02:03:57.004646Z,2024-11-29T02:07:30.764981Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",github,webapp,{},"sast,sca,apisec",33431,546
db5b6ee2-b04d-4664-8411-181a5f31f9c9,Completed,b33301a9-f20a-403f-96e4-bb1038a787e5,webgoat.net,master,,,2024-11-29T02:38:16.760183Z,2024-11-29T02:41:43.811972Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",github,webapp,{},"sast,sca,apisec",16072,303
d23c704f-02fe-4985-85c7-4c648d8ff18b,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-29T07:04:47.715615Z,2024-11-29T07:07:13.820528Z,happy_yang,VS Code/2.3.5,zip,VS Code,{},sca,,
c3532f6c-e31a-46f4-a25d-267d1d5d6f89,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-29T07:29:36.092791Z,2024-11-29T07:34:10.942246Z,happy_yang,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",github,webapp,{},"sast,sca,apisec",80636,930
2d50767e-97cd-4f9d-aebe-3647fb81f4f0,Completed,d79584f2-2ef9-4195-aebb-08e753527f91,webgoat,main,,,2024-11-29T07:35:43.443558Z,2024-11-29T07:40:51.923095Z,happy_yang,VS Code/2.3.5,zip,VS Code,{},"sast,sca",136672,837
8f375cb6-220c-469c-ba69-4d2c8d697f76,Completed,5b2abad0-3dc2-4a53-aae7-d523776e2b0c,Checkmarx Python SDK,master,,,2024-11-29T07:50:41.947812Z,2024-11-29T08:06:18.28787Z,happy_yang,Jetbrains/2.3.5,zip,Jetbrains,{},"sast,sca",524257,2075
61d257c6-9dbc-4716-9788-f10ade9edf98,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master,,,2024-12-09T05:23:52.619491Z,2024-12-09T05:24:55.26262Z,happy_yang,python-requests/2.32.3,zip,python-requests,"{""SHA256"": ""078a0ba254d6db841646364e034fe53de1f15c1ad3df3569bca9051351bd2fff"", ""branch"": ""master"", ""commit_id"": ""f96f204bc2546f3a7568da24f6215cf6d4387112"", ""commit_time"": ""1718865810"", ""committer"": ""GitHub <noreply@github.com>"", ""date"": ""2024-10-23"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""False""}","sast,apisec",2778,80
9f026fc0-07a4-45df-995a-2f79bd0eca8e,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master-sca,,,2024-12-09T05:26:25.772895Z,2024-12-09T05:29:54.878927Z,happy_yang,python-requests/2.32.3,zip,python-requests,"{""SHA256"": ""b5ca527caa50c5ee078c5753ecc04d36375924e74c1cd8f0c4c1c132c06dd781"", ""branch"": ""master"", ""commit_id"": ""f96f204bc2546f3a7568da24f6215cf6d4387112"", ""commit_time"": ""1718865810"", ""committer"": ""GitHub <noreply@github.com>"", ""date"": ""2024-10-23"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""True""}","sast,sca",2778,80
aef038d3-acf6-405a-94d7-450f1f83a7c9,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master-sca,,,2024-12-09T12:51:29.57064Z,2024-12-09T12:53:53.781502Z,happy_yang,ASTCLI/2.0.63,zip,cli,{},sca,,
e51d59cb-e485-4c47-abb2-04886fd5ea8b,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master-sca,,,2024-12-09T12:58:19.380174Z,2024-12-09T13:00:45.478002Z,happy_yang,ASTCLI/2.0.63,zip,cli,{},sca,,
45419eed-1de9-4e18-a0f7-ee7982af270b,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master-sca,,,2024-12-10T00:40:51.332069Z,2024-12-10T00:43:15.480164Z,happy_yang,ASTCLI/2.0.63,zip,cli,{},sca,,
58680fd2-9177-4cb6-9f69-a90d5190980d,Completed,1b49ad6f-057f-400c-aa32-f6bc31caf242,JavaVulnerableLab,master,,,2024-12-11T04:40:19.869259Z,2024-12-11T04:41:24.98433Z,happy_yang,python-requests/2.32.3,zip,python-requests,"{""SHA256"": ""737b246f590ce4fa4548831a04a71605a672f6af8afcf4e4e21db86801776f61"", ""branch"": ""master"", ""commit_id"": ""f96f204bc2546f3a7568da24f6215cf6d4387112"", ""commit_time"": ""1718865810"", ""committer"": ""GitHub <noreply@github.com>"", ""date"": ""2024-10-23"", ""incremental"": ""False"", ""preset"": ""ASA Premium"", ""sca_exploitable_path"": ""False""}","sast,apisec",2778,80
